id;rating;comment;review_date
1;5;../fake-data/blob/hipster.txt;2025-02-04T16:12:10
2;1;../fake-data/blob/hipster.txt;2025-02-04T23:28:09
3;3;../fake-data/blob/hipster.txt;2025-02-04T21:18:02
4;2;../fake-data/blob/hipster.txt;2025-02-04T22:03:49
5;5;../fake-data/blob/hipster.txt;2025-02-04T23:20:00
6;2;../fake-data/blob/hipster.txt;2025-02-05T04:27:23
7;4;../fake-data/blob/hipster.txt;2025-02-05T08:32:54
8;4;../fake-data/blob/hipster.txt;2025-02-05T09:08:16
9;2;../fake-data/blob/hipster.txt;2025-02-05T07:21:54
10;4;../fake-data/blob/hipster.txt;2025-02-04T23:43:00
